Sentiment,Sentence,preprocess_libyan_arabic,Processed_Text_base_ai
positive,ﺻﺎﻓﻲ ﺍﻟﻨية ﺑﺎﻳﻨﺎﺕ ﺍﻭﺭﺍﻗﻪ,يه,صافي نيه باين اوراق
negative,لا من يونس,يونس,يونس
positive,من يوم يومنا قبة علم ف العالي,يوم يوم قبه علم ف العالي,يوم يوم قبه علم عالي
positive,و في يوم من ليام بعد العصر,يوم ليام عصر,يوم يوم عصر
negative,يوم بيوم نسمعلي عزاء,يوم يوم نسمع عزاء,يوم يوم سمع عزا
positive,في كل يوم يفوت,كل يوم يفو,يوم يفوت
negative,في كل يوم وطني في اغتصاب,كل يوم وطني اغتصاب,يوم وطني اغتصاب
positive,يوم وطن ما قبلوا عليه جميل,يوم وطن جميل,يوم وطن جميل
positive,ما يوم بهتان المحاسد ضرك,يوم هتان محاسد ضرك,يوم هتان حسد ضر
positive,من يوم ما هب الهوى,يوم هب الهوي,يوم هب هوي
negative,و يوم النهاية يوم ذاك الكاس,يوم النهايه يوم ذاك كاس,يوم نهايه يوم ذاك كاس
positive,يوم النفس طال لحلاق,يوم نفس طال حلاق,يوم نفس طال حلق
negative,و يوم نفسك ذليلة,يوم نفس ذليل,يوم نفس ذليل
positive,كل يوم ينشد ما يغيب علينا,كل يوم ينشد يغيب علينا,يوم نشد غاب علينا
positive,يوم أكثر الناس لهوى النفس طايع,يوم ناس لهوي نفس طايع,يوم ناس لهو نفس طوع
positive,يوم ميلاد اللي حوضه و نبعه,يوم ميلاد حوض نبع,يوم ميلاد حوض نبع
positive,و كل يوم مكانك يا هلا,كل يوم مكان يا هلا,يوم مكان هلا
negative,من يوم ما منك مشوا لكبار,يوم منك مشوا كبار,يوم مشى كبار
negative,يوم مجزرة ماطوس و التنكيل,يوم مجزر طوس تنكيل,يوم مجزر طوس تنكيل
positive,ماهيش يوم و ليلة,ماهيش يوم ليله,يوم ليل
positive,و في يوم من ليام,يوم ليام,يوم ليام
positive,لا يوم لمتك لا نهار نهيتك,يوم لمتك نهار نهيتك,يوم لم نهار نهي
positive,و من يومه تلقاه قنوع,يوم تلق قنوع,يوم لقى قنع
positive,و لا يوم تلقانا بوجه عبوس,يوم تلقا بوجه عبوس,يوم لقا وجه عبس
positive,يوم فيه ما تلقاش حد بخيل,يوم فيه تلقا حد خيل,يوم لقا حد خيل
